nomCru	country_label	subregion_label	area_label	label	millesime	volume	date_achat	prix	cote	quantite_courante	quantite_achat	garde_min	garde_max	garde_optimum	suggestion	comment	lieu_achat	canal_vente
Bouchard Aîné et Fils	France	Bourgogne	Bourgogne Hautes Côtes de Beaune	rouge	2006	75 cl	2008-10-06	5.4	5.4	0	3	3	10	0		FAV Champion		Non défini
Bread et Butter	Etats-Unis	Californie	Napa Valley	blanc	2015	75 cl	2019-03-03	18	18	0	1	1	5	1	Porc, Poisson gras (saumon, thon, etc.), Végétarien, Volaille		offert par Nicolas et Alex	Cadeau
Bret Brothers - Mâcon-Chardonnay Les crays	France	Bourgogne	Mâcon Villages	blanc	2022	75 cl	2024-09-27	25.7	25.7	0	1	2	5	2			Cave des 2 Roches, 71 Prissé	Caviste
Bret Brothers - Mâcon-Chardonnay Les crays	France	Bourgogne	Mâcon Villages	blanc	2023	75 cl	2025-02-20	22	22	0	3	2	8	2			Le carré des vins	Achat sur Internet
Bret Brothers - Pouilly Vinzelles Zen	France	Bourgogne	Pouilly-Vinzelles	blanc	2023	75 cl	2025-02-20	29	29	1	1	2	10	2		Nos cuvées ZEN sont vinifiées sans soufre jusqu'à la mise en bouteille pour laquelle nous ajoutons 20 mg/l. Ce sont des cuvées confidentielles (entre 900 et 1500 bouteilles). Marchez, écoutez, humez. Vous êtes dans les vignes labourées de la Soufrandière en POUILLY-VINZELLES CLIMAT «LES QUARTS», dans ce terroir que nous estimons être l?un des meilleurs de la Bourgogne, peut-être par amour démesuré, ou peut-être parconvictionprofonde.Le clocheton, ancien abri dont le toit est couvert de tuiles vernissées, en est presque le gardien. La terre y est souple, aérée, parfumée, réglissée. Elle vit. Le terroir est là, tout simplement.L?exposition presque magique (en coteau Sud-Est) de nos plus vieilles vignes de Chardonnay, âgées de 45à 80ans et le sol vivant argilo-calcaire (Bajocien riche en cristaux siliceux) donnentainsi naissance à des vins de garde. Nez citronné et minéral, équilibre,complexitéetlongueurenbouche.Lesmillésimes passent, le Terroir reste. A nous de le préserver!2018, un grand Bourgogne!!Coup de C?ur. . 	Le carré des vins	Non défini
Bruno Hertz - Hospices de Strasbourg	France	Alsace et Lorraine	Alsace Pinot Noir	rouge	2013	75 cl	2016-01-04	0	0	0	1	2	10	2			offert par Yann Luttman	Non défini
C. Paradis et Fils - Brut Sélection 3ème Millénaire	France	Champagne	Champagne	blanc effervescent	-0	75 cl	2009-12-31	16	16	0	2	1	5	1			par Franck	Agent / Représentant
C. Paradis et Fils - Cuvée Parady's	France	Champagne	Champagne	blanc effervescent	2010	75 cl	2011-11-12	16.5	16.5	0	1	1	5	1		par C et JC	Colombé	En direct du producteur
C. Paradis et Fils - rosé de réserve	France	Champagne	Champagne	rosé effervescent	2010	75 cl	2011-11-12	14.5	14.5	0	3	1	5	1		par C et JC	Colombé	En direct du producteur
Cà dei Frati - I Frati	Italie	Lombardie	Lugana	blanc	2023	75 cl	2025-04-27	0	16	0	1	1	5	1		Élevage et évolution : en acier sur levures fines pendant au moins 6 mois, suivi de 2 mois en bouteille	Offert par Michel	Cadeau
Caloian - Feteasca neagra	Roumanie	Autre région	Autre appellation	rouge	2018	75 cl	2019-11-18	5	5	0	1	1	5	1			offert par Serge Peretti	Cadeau
Camin Larredya - La Part Davant	France	Sud-Ouest	Jurançon Sec	blanc	2012	75 cl	2013-11-09	0	0	0	1	2	5	2			offert par Gaelle et Sébastien	Cadeau
Canard Duchêne - Authentic Brut	France	Champagne	Champagne	blanc effervescent	-0	75 cl	2018-08-17	0	0	0	1	2	10	2			offert par Maryse	Cadeau
Canicattì - Rapido - Nero d'Avola	Italie	Sicile	Terre Siciliane	rouge	2018	75 cl	2019-11-17	0	8	1	1	1	5	1		offert par Mabrouk	offert par Mabrouk	Cadeau
Carrel François et Fils, Passion d'Antan	France	Savoie, Dauphiné et Bugey	Roussette de Savoie	blanc	2007	75 cl	2009-12-26	6.5	6.5	0	2	1	5	1			Carrefour Market Cruseilles	Grande surface
Cave de Crouseilles	France	Sud-Ouest	Madiran	rouge	2001	75 cl	2013-09-15	9	9	0	4	4	15	12			fav auchan 2013	Grande surface
Cave de Cruet - Jacquère	France	Savoie, Dauphiné et Bugey	Vin de Savoie Cruet	blanc	2006	75 cl	2007-12-27	4.8	4.8	0	1	1	4	0		pour fondue		Non défini
Cave de Ribeauvillé - Grand Cru Osterberg	France	Alsace et Lorraine	Alsace Gewurztraminer	blanc moëlleux	2006	75 cl	2013-07-07	0	25	0	1	2	10	2			offert par Alain et Paula	Cadeau
Cave de Tain l'Hermitage - Les Hauts de Pavières	France	Vallée du Rhône	Hermitage	blanc	2016	75 cl	2020-05-17	0	0	1	1	4	15	4			Offert par Eric pour mes 51 ans	Cadeau
Cave des Oulaines - Aligoté	Suisse	Genève	Genève	blanc	2006	75 cl	2008-01-20	0	0	0	1	1	5	0				Non défini
Cave Saint Désirat - La Mandragore	France	Vallée du Rhône	Saint Joseph	rouge	2000	75 cl	2007-12-26	9.5	9.5	0	2	2	8	0		Auchan		Non défini
Caveau Bugiste - Cuvée de l'Amandier	France	Savoie, Dauphiné et Bugey	Bugey Manicle	blanc	2006	75 cl	2008-05-11	13.1	13.1	0	3	2	10	0	On le conseillera avec les volailles à la crème, les quenelles, les poissons en sauce, etc.. 	Issu du cépage Chardonnay, et vieilli en fûts de chêne, le cru Manicle Blanc se distingue par sa puissance, sa longueur en bouche, et sa richesse aromatique. 		Non défini
Caveau Bugiste - Mondeuse Blanche	France	Savoie, Dauphiné et Bugey	Vin du Bugey	blanc	2007	75 cl	2008-05-11	5.3	5.3	0	6	2	5	0	La Mondeuse Blanche accompagnera parfaitement les entrées froides, les salades, mais aussi la petite friture, les fruits de mer, la fondue savoyarde, etc.	Cépage particulier, rare, replanté récemment. Elle donne un vin léger, rafraîchissant, vif, mais sans agressivité, aux arômes subtils. . 		Non défini
Caveau Bugiste - Mondeuse cuvée terroir	France	Savoie, Dauphiné et Bugey	Vin du Bugey	rouge	2006	75 cl	2008-05-11	5.3	5.3	0	6	3	12	0		Elle donne un vin rouge solide, tannique, apte au vieillissement, et étonnamment fruité. D'un rouge profond aux reflets violacés, ses arômes sont ceux de petits fruits des bois mais évoluent aussi sur des notes plus complexes.		Non défini
Caveau Bugiste - Pinot rosé	France	Savoie, Dauphiné et Bugey	Vin du Bugey	rosé	2006	75 cl	2008-05-11	4.9	4.9	0	3	2	3	0	Barbecue, cuisine relevée type asiatique	De par son cépage, le Pinot donne un rosé plus corsé que le Gamay		Non défini
