nomCru	country_label	subregion_label	area_label	label	millesime	volume	date_achat	prix	cote	quantite_courante	quantite_achat	garde_min	garde_max	garde_optimum	suggestion	comment	lieu_achat	canal_vente
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Vin de Savoie	rosé	-0	75 cl	2010-08-29	4.6	4.6	0	4	1	3	1			Chez Dupasquier	En direct du producteur
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2008	75 cl	2011-05-01	9.5	9.5	0	5	5	15	5			chez le propriétaire	En direct du producteur
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2009	75 cl	2012-05-26	10	10	0	6	6	15	6		recommandation Dupasquier, laisser encore 3 ans sans toucher	Jongieux	En direct du producteur
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2010	75 cl	2013-11-09	10	10	0	6	1	5	1			chez Dupasquier	En direct du producteur
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2010	1,5 l	2016-08-27	25	25	1	2	1	15	12		à oublier quelques années !	Aimavigne - Jongieux	En direct du producteur
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2012	75 cl	2016-08-27	10.8	10.8	0	6	1	15	12		à oublier quelques années !	Aimavigne - Jongieux	En direct du producteur
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2002	75 cl	2016-08-27	20.8	20.8	0	2	1	20	15		pour l'anniversaire des 18 ans de Titouan ?	Aimavigne - Jongieux	En direct du producteur
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2013	75 cl	2018-05-06	11.3	11.3	0	6	1	15	7		Encore fermé en 2018 attendre 2020	Caves ouvertes 2018	En direct du producteur
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2019	75 cl	2024-05-04	14	14	3	6	1	20	1				En direct du producteur
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2002	1,5 l	2024-05-04	0	31	0	1	1	25	1				En direct du producteur
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2018	1 l	2024-05-04	32	32	1	1	1	4	1				En direct du producteur
Domaine Dupasquier	France	Savoie, Dauphiné et Bugey	Vin de Savoie	rosé	2020	75 cl	2024-05-04	6.5	6.5	2	3	1	6	1				En direct du producteur
Domaine Dupasquier - Altesse	France	Savoie, Dauphiné et Bugey	Roussette de Savoie	blanc	2007	75 cl	2009-10-10	5.6	5.6	0	3	2	5	0				Non défini
Domaine Dupasquier - Altesse	France	Savoie, Dauphiné et Bugey	Roussette de Savoie	blanc	2008	75 cl	2011-05-01	6.3	6.3	0	2	2	5	2			Jongieux	En direct du producteur
Domaine Dupasquier - Altesse	France	Savoie, Dauphiné et Bugey	Roussette de Savoie	blanc	2012	75 cl	2016-08-27	7.1	7.1	0	6	2	5	2			Aimavigne - Jongieux	En direct du producteur
Domaine Dupasquier - Altesse	France	Savoie, Dauphiné et Bugey	Roussette de Savoie	blanc	2014	75 cl	2018-05-06	7.5	7.5	0	6	2	5	2			Caves ouvertes 2018	En direct du producteur
Domaine Dupasquier - Altesse	France	Savoie, Dauphiné et Bugey	Roussette de Savoie	blanc	2019	75 cl	2024-05-04	9.7	9.7	4	6	2	10	2				En direct du producteur
Domaine Dupasquier - Chardonnay	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2008	75 cl	2011-05-01	6.1	6.1	0	3	1	5	1			Jongieux	En direct du producteur
Domaine Dupasquier - Cuvée Fleur d'Altesse	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2005	75 cl	2010-05-01	16	16	0	1	1	25	10			Chez Dupasquier	En direct du producteur
Domaine Dupasquier - Gourmandise	France	Savoie, Dauphiné et Bugey	Vin de Savoie	rouge	2016	75 cl	2021-03-13	0	0	1	1	2	5	2		offert par Eric	Jongieux chez Dupasquier	Cadeau
Domaine Dupasquier - Jacquère	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2011	75 cl	2013-11-09	4.2	4.2	0	6	1	4	1		pour fondues, raclettes etc.	chez Dupasquier	En direct du producteur
Domaine Dupasquier - Jacquère	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2013	75 cl	2016-08-27	4.6	4.6	0	3	1	4	1		pour la fondue !	Aimavigne - Jongieux	En direct du producteur
Domaine Dupasquier - Jacquère	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2015	75 cl	2018-05-06	5	5	0	6	1	4	1			Caves ouvertes 2018	En direct du producteur
Domaine Dupasquier - Jacquère	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2020	75 cl	2024-05-05	6.5	6.5	0	6	1	8	1		portes ouvertes 2024	Jongieux	En direct du producteur
Domaine Dupasquier - Mondeuse	France	Savoie, Dauphiné et Bugey	Vin de Savoie	rouge	2006	75 cl	2010-05-01	6.1	6.1	0	3	2	8	5			Chez Dupasquier	En direct du producteur
Domaine Dupasquier - Mondeuse	France	Savoie, Dauphiné et Bugey	Vin de Savoie	rouge	2004	1,5 l	2010-08-29	15	17	0	1	2	12	2			Chez Dupasquier	En direct du producteur
Domaine Dupasquier - Mondeuse	France	Savoie, Dauphiné et Bugey	Vin de Savoie	rouge	2007	75 cl	2010-08-29	0	8	0	1	2	5	2		offert	Chez Dupasquier	En direct du producteur
Domaine Dupasquier - Mondeuse Blanche	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2013	75 cl	2016-08-27	9.5	9.5	0	3	1	7	3		potentiel de vieillissement à déterminer car réintroduction récente de la mondeuse blanche chez Dupasquier	Aimavigne - Jongieux	En direct du producteur
Domaine Dupasquier - Mondeuse Blanche	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2020	75 cl	2024-05-04	14	14	2	3	1	8	1				En direct du producteur
Domaine Dupasquier - Perles d'aimavigne - Blanc de Blancd Brut	France	Autre région	Vin mousseux de qualité	blanc effervescent	-0	75 cl	2012-05-26	7	7	0	4	1	5	1		très bien à l'apéro	Jongieux	En direct du producteur
Domaine E. de Montmollin Fils - Le soliste	Suisse	Neuchâtel	Vin de Pays des Coteaux Neuchâtelois	rouge	2012	75 cl	2016-08-13	0	30	0	1	4	10	6	côte de b?uf, gigot d?agneau,. chasse, vieux gruyère salé	servir entre 14 et 16°	offert par Sandra Monnier	Cadeau
Domaine Edmond Jacquin	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2007	75 cl	2009-08-15	7.7	7.7	0	2	1	15	0		Carrefour Market		Non défini
Domaine Edmond Jacquin	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2008	75 cl	2010-02-06	7.95	7.95	0	2	1	5	1			Carrefour Market Cruseilles	Grande surface
Domaine Edmond Jacquin	France	Savoie, Dauphiné et Bugey	Roussette de Savoie Marestel	blanc	2009	75 cl	2010-08-22	7	7	0	1	1	5	1			Carrefour Market Cruseilles	Grande surface
Domaine Farjon	France	Vallée du Rhône	Saint Joseph	rouge	2015	75 cl	2017-08-06	0	0	1	1	3	10	3			offert par Eric	Cadeau
Domaine Fernand Engel - Cuvée Angélique	France	Alsace et Lorraine	Alsace Riesling	blanc	2008	75 cl	2009-11-28	7	7	0	1	1	5	1			Carrefour Market Cruseilles	Grande surface
Domaine Fiumicicoli	France	Provence-Corse	Vin de Corse-Sartène	rouge	2003	75 cl	2010-10-03	0	0	0	1	2	5	2		Séb et Gaelle	cadeau	Cadeau
Domaine Fiumicicoli	France	Provence-Corse	Vin de Corse-Sartène	rouge	2010	75 cl	2012-06-10	0	0	0	1	2	5	2		Ne pas garder trop longtemps	offert par guibbs	Cadeau
Domaine Fiumicicoli	France	Provence-Corse	Vin de Corse-Sartène	blanc	2011	75 cl	2012-06-10	0	0	0	1	1	4	1		ne pas garder trop longtemps	offert par guibbs	Cadeau
Domaine François Chidaine - Clos du Breuil	France	Vallée de la Loire	Montlouis-sur-Loire	blanc	2006	75 cl	2009-02-14	15	15	0	2	4	20	0	Sur plats un peu épicés genre curry de poulet. Carafer si jeune.	la java des flacons Annecy Le Vieux.. 		Non défini
Domaine François Gerbet	France	Bourgogne	Vosne-Romanée	rouge	2004	75 cl	2007-04-05	15.4	15.4	0	2	2	5	0		Acheté à la maison des vins, place de l'église, 21700 Vosne Romanée. 03-80-62-32-99. 		Non défini
Domaine François Gerbet - 1er Cru Les Petits Monts	France	Bourgogne	Vosne-Romanée	rouge	2004	75 cl	2007-04-05	25	25	0	2	5	10	0				Non défini
Domaine François Gerbet - Aux Réas	France	Bourgogne	Vosne-Romanée	rouge	2004	75 cl	2007-04-05	18.5	18.5	0	2	2	5	0		Médaille d'or Paris 2007		Non défini
Domaine Ganevat - Les Vignes de mon Père	France	Jura	Côtes du Jura	blanc	2004	75 cl	2015-08-01	45	45	0	3	11	20	11		élevé 11 ans, ouillé. le 2004 a été mis en bouteille en 2015.	chez Ganevat via Franck	En direct du producteur
Domaine Gayda - Chemin de Moscou	France	Languedoc-Roussillon	Vin de Pays d'Oc	rouge	2009	75 cl	2012-05-21	19.5	19.5	0	3	1	3	1			par Franck	En direct du producteur
Domaine Gayda - Chemin de Moscou	France	Languedoc-Roussillon	Vin de Pays d'Oc	rouge	2020	75 cl	2024-01-21	0	23	1	1	1	7	4			Offert par Angélique et Olivier	Cadeau
Domaine Gayda Syrah	France	Languedoc-Roussillon	Vin de Pays d'Oc	rouge	2010	75 cl	2012-05-21	6.5	6.5	0	3	1	3	1			par Franck	En direct du producteur
Domaine Geneletti	France	Jura	Arbois	rouge	2007	75 cl	2008-10-30	11.3	11.3	0	3	2	5	0		Vignerons indépendants Lyon		Non défini
Domaine Geneletti - Vieilles Vignes	France	Jura	L'Etoile	blanc	2004	75 cl	2008-10-31	8.2	8.2	0	5	5	12	0	Déguster entre 12 et 14° sur des platqs a la creme, poissons, fruits de mer, fromages et viandes blanches.	il vieillit pendant plusieurs années en fût de chêne et acquiert la finesse et l'élégance caractréristique de l'AOC.. On dit qu'un vin de l'Etoile est tout en dentelle.		Non défini
Domaine Gerin - La Champine	France	Vallée du Rhône	Vin de Pays des Collines Rhodaniennes	rouge	2013	75 cl	2015-02-14	0	0	0	1	1	5	1			offert par Yann Cena	En direct du producteur
Domaine Gilles Bonnefoy - La Plantée du Pizet	France	Vallée de la Loire	Côtes du Forez	rosé	2007	75 cl	2008-07-18	6	6	0	1	1	2	0				Non défini
Domaine Gonon - Vieilles Vignes	France	Bourgogne	Pouilly-Fuissé	blanc	2023	75 cl	2024-09-27	20	20	1	1	3	15	3			Cave des 2 Roches, 71 Prissé	Caviste
Domaine Gouillon	France	Beaujolais	Brouilly	rouge	2005	75 cl	2007-02-15	5.25	5.25	0	3	1	6	0		Acheté à Auchan lors de la foire aux vins		Non défini
Domaine Grace - Hishiyama Private Reserve	Japon	Yamanashi	Yamanashi	blanc	2023	75 cl	2025-09-25	39.9	39.9	3	3	1	5	1	Sushis	Le vignoble de Hishiyama présente des sols granitiques minéraux, et ce vin pressé en grappes entières a été fermenté et élevé dans des cuves en acier inoxydable. Il présente un nez complexe d'huile essentielle d'orange, d'écorce de yuzu et de pêche blanche. La bouche est savoureuse avec des fruits verts et des fruits blancs, délicate et équilibrée avec une texture huileuse. Le citron vert et des touches d'épices douces conduisent à des notes de melon et d'umami sur la longue finale. 2025-2028 » (Decanter 2025) - bouchon à vis	1J1V	Non défini
Domaine Grand - Savagnin	France	Jura	Côtes du Jura	blanc	2002	75 cl	2009-09-27	6	6	0	1	1	5	0		Carouf Market Cruseilles.		Non défini
Domaine Grand - Savagnin	France	Jura	Côtes du Jura	blanc	2009	75 cl	2010-08-21	0	7	0	1	1	5	1			Carrefour Market Cruseilles	Grande surface
Domaine Grand Romane	France	Vallée du Rhône	Gigondas	rouge	2012	75 cl	2016-01-16	0	0	1	1	4	10	4			offert par Jérôme et Stéphanie	Cadeau
Domaine Grisard - Mondeuse	France	Savoie, Dauphiné et Bugey	Vin de Savoie Saint-Jean-de-la-Porte	rouge	2015	75 cl	2017-08-13	0	0	0	1	1	5	1			Offert pas Marie et Sébastien	Cadeau
Domaine Grisard - Souveraine	France	Savoie, Dauphiné et Bugey	Roussette de Savoie	blanc	2022	75 cl	2024-01-21	17	17	1	1	2	5	2			Comptoir de lapero savoyard cruseilles	Caviste
Domaine Grisard, Mondeuse Cuvée Prestige	France	Savoie, Dauphiné et Bugey	Vin de Savoie Saint-Jean-de-la-Porte	rouge	2009	75 cl	2011-03-19	0	0	0	1	1	5	1		Offert par Eric pour mes 42 ans		Cadeau
Domaine Guirardel - Sans voile	France	Sud-Ouest	Jurançon Sec	blanc	2015	75 cl	2022-05-04	0	0	0	1	2	5	2			par Franck	Non défini
Domaine Hauvette - Pétra	France	Provence-Corse	Les Baux de Provence	rosé	2017	75 cl	2019-09-14	23	23	0	3	1	4	1		goûté chez Yoann Conte, énorme surprise	site ardoneo	Achat sur Internet
Domaine Henri Darnat - 1er Cru Aux Coucherias	France	Bourgogne	Beaune	rouge	2013	75 cl	2016-08-14	0	30	0	1	4	12	8			offert par Anthony Mahut	Cadeau
Domaine Henri Delagrange - Les Vaumuriens Hauts	France	Bourgogne	Pommard	rouge	2016	75 cl	2018-02-23	27	27	3	3	5	25	8		facile d'accès, riche et concentré, tannins fins mais bien présents nécessitant un peu d'attente pour mieux se fondre dans le vin	salon des vins Annemasse	En direct du producteur
Domaine Henri Delagrange - Vieilles Vignes	France	Bourgogne	Volnay	rouge	2013	75 cl	2015-11-01	23.5	23.5	0	6	2	8	5	Il accompagnera très bien les plats à base de volailles patiemment rôties ou laquées ainsi que les fromages crémeux. . Température de service : 14 à 16 °C	Vin de couleur rubis, à la fois tendre et savoureux, qui exhale des parfums d?une grande finesse, comme les petits fruits rouges (framboise, mûre) et la violette. Vins au caractère féminin.	Le cellier volnaysien	Agent / Représentant
Domaine Henri Delagrange - Vieilles Vignes	France	Bourgogne	Volnay	rouge	2016	75 cl	2018-02-23	27	27	3	3	3	10	4			salon des vins Annemasse	En direct du producteur
Domaine Henri Gouges - Pinot Blanc	France	Bourgogne	Bourgogne	blanc	2010	75 cl	2012-03-17	10	10	0	3	2	5	3		du pinot noir qui a muté tout seul pour devenir du pinot blanc et qui a été bouturé depuis 1955 pour faire une parcelle complète.	Nuits St Georges	Salon de vignerons
Domaine Huber-Verdereau	France	Bourgogne	Pommard	rouge	2005	75 cl	2007-04-05	18	18	0	3	8	25	0		Acheté à Pommard à la cave regroupant 16 vignerons de Pommard.		Non défini
Domaine Jean Bourdy	France	Jura	Château-Châlon	vin jaune	1969	75 cl	2009-03-15	0	150	0	1	10	150	0		Offert par Nath pour mes 40 ans		Non défini
Domaine Jean Bourdy	France	Jura	Château-Châlon	vin jaune	1969	62,5 cl	2009-07-26	0	215	0	1	7	200	0		Offerte par Nath pour mes 40 ans		Non défini
Domaine Jean Collet et Fils - 1er Cru Vaillons	France	Bourgogne	Chablis	blanc	2006	75 cl	2009-12-25	0	0	0	1	2	15	5	Accords mets : Le Vaillons mérite d'être associé aux mets de choix: poissons, charcuterie fine, volailles ou viandes blanches.	Notre Vaillons présente l'intérêt de pouvoir être bu selon l'envie de l'amateur: rapidement pour profiter du fruit mais il sera à sa plénitude après 3 à 6 ans de bouteille.. 	Cadeau noël 2009 Loïc St Max	Caviste
Domaine Jean Macle	France	Jura	Macvin du Jura	vin blanc muté	2002	75 cl	2007-11-10	16	16	0	1	1	20	0				Non défini
Domaine Jean Macle	France	Jura	Château-Châlon	vin jaune	1999	62 cl	2007-11-11	35	35	0	1	4	30	0		Attendre 2015...		Non défini
Domaine Jean Macle	France	Jura	Côtes du Jura	blanc	2004	75 cl	2007-11-10	8	8	0	3	2	5	0		16/20 dans le grand guide des vins de France 2008, par Bettane et Dessauve		Non défini
Domaine Jean Macle	France	Jura	Crémant du Jura	blanc effervescent	2006	75 cl	2007-11-11	6.5	6.5	0	4	1	5	0				Non défini
Domaine Jean Macle	France	Jura	Côtes du Jura	blanc	2003	1,5 l	2009-02-20	37.6	37.6	1	1	2	5	0		eBay, frais de port inclus		Non défini
Domaine Jean Macle	France	Jura	Château-Châlon	vin jaune	1999	62,5 cl	2007-11-01	35	35	0	1	4	30	4		remis en cave suite suppression cavus par erreur		Non défini
Domaine Jean Macle	France	Jura	Château-Châlon	vin jaune	2000	62,5 cl	2009-07-24	37	37	1	2	4	30	4		Attendre les 20 ans soit 2020.. Ne craint pas bcp les variations non brusques de température. Craint un peu l'humidité. Autant les conserver dans un endroit pas trop humide, en haut de la cave.		Non défini
Domaine Jean Macle	France	Jura	Château-Châlon	vin jaune	2002	62,5 cl	2009-07-24	36	36	1	2	4	30	4		Attendre les 20 ans soit 2020.. Ne craint pas bcp les variations non brusques de température. Craint un peu l'humidité. Autant les conserver dans un endroit pas trop humide, en haut de la cave.		Non défini
Domaine Jean Macle	France	Jura	Côtes du Jura	blanc	2006	75 cl	2009-07-24	10	10	0	7	5	25	0		Attendre au moins 10 ans		Non défini
Domaine Jean Macle	France	Jura	Macvin du Jura	vin blanc muté	-0	75 cl	2009-07-24	18	18	1	1	1	5	0		Se conserve infiniment même une fois ouvert.		Non défini
Domaine Jean Macle	France	Jura	Côtes du Jura	blanc	2018	75 cl	2024-03-16	0	25	1	1	2	12	2			Cadeau Nath (Lavinia)	Caviste
Domaine Jean Macle - Chardonnay sous voile	France	Jura	Côtes du Jura	blanc	2018	75 cl	2025-01-04	29.9	29.9	3	3	5	20	5			Le carré des vins	Achat sur Internet
Domaine Jean Masson - Cuvée Lisa	France	Savoie, Dauphiné et Bugey	Vin de Savoie Apremont	blanc	2016	75 cl	2018-03-17	7.5	7.5	0	6	1	5	1		sec, tendu, droit	Apremont	En direct du producteur
Domaine Jean Masson et Fils - Dames Bise	France	Savoie, Dauphiné et Bugey	Vin de Savoie Apremont	blanc	2016	75 cl	2018-03-17	13	13	0	6	1	5	1		plus riche que la cuvée Lisa, plus complexe, plus long, concentration due à de faibles rendements (22 hl/ha au lieu de 68 autorisés)	Apremont	En direct du producteur
Domaine Jean-Pierre Michel - Sur le chêne	France	Bourgogne	Viré-Clessé	blanc	2021	75 cl	2024-09-29	21	21	1	1	2	7	2			Caviste Cluny	Caviste
Domaine Jo Pithon	France	Vallée de la Loire	Quarts de Chaume	blanc liquoreux	2011	50 cl	2013-06-02	40	40	1	1	4	25	4		Foire aux vins Arbusigny		En direct du producteur
Domaine Joblot - 1er Cru	France	Bourgogne	Givry	blanc	2012	75 cl	2014-03-28	0	12.5	0	1	2	6	2		à goûter avec Hervé	offert par Hervé Gressani un soir de beuverie...	Non défini
Domaine Kientzler	France	Alsace et Lorraine	Alsace Pinot Blanc	blanc	2005	75 cl	2009-04-08	6.9	6.9	0	3	1	5	1				Non défini
Domaine Kientzler - Auxerrois K	France	Alsace et Lorraine	Alsace Auxerrois	blanc	2005	75 cl	2009-04-11	11.4	11.4	0	6	1	5	0				Non défini
Domaine Kientzler - Grand Cru Geisberg	France	Alsace et Lorraine	Alsace Riesling	blanc	2006	75 cl	2009-04-11	22	22	0	3	2	12	0				Non défini
Domaine L'Enclos, Gros Manseng	France	Sud-Ouest	Vin de Pays des Côtes de Gascogne	blanc moëlleux	2006	75 cl	2008-04-12	4.98	4.98	0	1	1	3	0		Carrefour		Non défini
Domaine la Colombe - La Colombe Noire Réserve	Suisse	Vaud	La Côte	rouge	2015	75 cl	2018-06-09	31	31	1	1	1	5	1			Lavinia Genève	Caviste
Domaine La Colombe - Le Petit Clos	Suisse	Vaud	Mont-sur-Rolle	blanc	2016	75 cl	2018-06-09	18	18	1	1	1	5	1			Lavinia Genève	Caviste
Domaine La Croix Belle - N°7	France	Languedoc-Roussillon	Vin de Pays des Côtes de Thongue	blanc	2010	75 cl	2014-05-27	0	10	0	1	3	5	3	A déguster sur du poisson (loup grillé, rougets, bouillabaisse), de la viande blanche (fondant de veau) ou encore sur du foie gras poêlé. Les amateurs de grands blancs peuvent le servir à l?apéritif. Température idéale : 12-13°C.	Viognier, Chardonnay, Grenache Blanc, Sauvignon, Grenache Gris, Muscat petit grain, Carignan blanc	Offert par Lionel Debray (Broadridge)	Cadeau
Domaine la Monardière - Le Rosé	France	Vallée du Rhône	Vacqueyras	rosé	2005	75 cl	2007-04-03	0	0	0	3	1	3	0				Non défini
Domaine La Moussiére	France	Vallée de la Loire	Sancerre	blanc	2008	75 cl	2009-12-28	14.9	14.9	0	6	1	5	2	Très belle robe or à reflets verts - sur des notes florales et fruitées - vive, souple et souriante - ouvrir 1/4 d'heure avant - 10 à 12°C en apéritif ou pour la dégustation et 12 à 14°C en accompagnement de mets - A savourer sur un tartare de poisson, une mouclade à la Charentaise, un brochet au beurre blanc, une omelette aux girolles, des crottins de Chavignol...	Sol composé de Marnes de Saint-Doulchard (caillottes), Kimméridgiens supérieurs en sous-sol - culture biologique et biodynamique, taille et soin des plaies, ébourgeonnage sévère et vendanges en vert (maîtrise des rendements) - fermentation en cuve pour 50% et le reste en barriques neuves, à des températures comprises entre 18 et 23°C - 100% Sauvignon	1jour1vin	Achat sur Internet
Domaine La Roquète	France	Vallée du Rhône	Châteauneuf du Pape	rouge	1969	75 cl	2009-02-13	32.5	32.5	0	1	3	10	0		ebay 32,50 + 12 de fais de port		Non défini
Domaine le Briseau - Galimatias	France	Autre région	Vin de Table - Vin de France	blanc	-0	75 cl	2008-08-22	15	15	0	1	1	8	0	chardonnay friand avec du sucre residuel à boire en apéritif	paraît-il exceptionnel.. Nez de fruits, vin pleine de fruits avec du sucre résiduel (ananas confits ). La rétro: très complexe avec de la minéralité ...		Non défini
Domaine le Briseau - Les Mortiers	France	Vallée de la Loire	Côteaux du Loir	rouge	2009	75 cl	2012-01-18	20	20	0	6	3	10	3		2 Euros de port par bouteille	commandé	En direct du producteur
Domaine le Briseau - Patapon	France	Vallée de la Loire	Côteaux du Loir	rouge	2009	75 cl	2012-01-18	12	12	0	4	3	10	3		dont 2 Euros de port par bouteille	commandé	En direct du producteur
Domaine Le Conte des Floris - Villafranchien	France	Languedoc-Roussillon	Côteaux du Languedoc	rouge	2010	75 cl	2012-09-06	0	0	0	1	2	5	2	Cassoulet !	Offert avec le cassoulet qui va bien...	Par Franck et Cécile 	Cadeau
Domaine Léon Barral	France	Languedoc-Roussillon	Faugères	rouge	2005	75 cl	2009-07-08	25	25	0	1	3	8	0	viande rouge, fromage de brebis. Charpenté.	Chez Globus, Genève. Très recommandé par le sommelier qui connaît le viticulteur. Celui-ci passe pour être un artiste genre Christophe Abbet.		Non défini
Domaine Les Grandes Vignes	France	Vallée de la Loire	Côteaux du Layon	blanc liquoreux	2006	75 cl	2008-03-29	6.5	6.5	0	1	5	20	0	accord :  A déguster l'apéritif, avec le foie gras.  . service :  Frais 8° et 10° C. . maturité :  Vin de garde. . distinction :  Médaille d'Or à Paris 2007. . 	Sols :  Gravilo-argileux-schiste gris. . Caractéristiques : Arômes d'abricots et de miel, bouche riche, fraîcheur acidulée. . 		Non défini
Domaine Les Grandes Vignes - La Varane	France	Vallée de la Loire	Côteaux du Layon	blanc liquoreux	2006	75 cl	2008-06-15	0	0	0	2	2	40	0	Accord : A déguster l'apéritif, avec le foie gras.. Service : Frais 8° et 10° C.	Caractéristiques : Arômes d'abricots et de miel, bouche riche, fraîcheur acidulée.. Maturité : Vin de garde.. . 		Non défini
Domaine Lezin	France	Vallée du Rhône	Condrieu	blanc	2010	75 cl	2014-07-18	0	25	0	1	3	10	3			Offet par Pierre et Françoise Vergès	Cadeau
Domaine Ligier Père &amp; Fils - Les Mille et Une Nuits	France	Jura	Arbois	blanc	2011	75 cl	2025-03-02	0	0	0	1	2	5	2			Récupéré dans la cave de papa (je lui avais offerte)	Cadeau
Domaine Ligier Père et Fils - Les Chassagnes 	France	Jura	Arbois	rouge	2006	75 cl	2009-04-03	8	8	0	2	2	15	0	Accompagnement : Viandes rouges, gibiers rôtis, fromage	Trousseau     - Elevage 1 ans en cuve + fûts       - Production : 7000 Blles - Potentiel de garde et service : 10 à 15 ans 14°   - 		Non défini
Domaine Ligier Père et Fils - Mille et Une Nuits	France	Jura	Arbois	blanc	2004	75 cl	2009-04-03	10.5	10.5	0	3	4	10	0	Attendre	Foire d'Annemasse aux vignerons indépendants de la Bourgogne et du Jura 		Non défini
Domaine Louis Jadot - 1er Cru Theurons	France	Bourgogne	Beaune	rouge	1997	75 cl	2009-02-14	33	33	0	1	10	20	0		La java des flacons, Annecy Le Vieux.. Doit se conserver jusqu'aux 15/20 ans de Rémi.		Non défini
Domaine Louis Latour -  1er Cru Les Aigrots	France	Bourgogne	Beaune	blanc	2001	75 cl	2016-09-18	14.95	14.95	0	2	1	15	1		FAV 2016 Auchan, 1er cru quoi ?	Auchan	Grande surface
Domaine Louis Magnin	France	Savoie, Dauphiné et Bugey	Vin de Savoie Chignin-Bergeron	blanc	1997	75 cl	2009-05-17	28	28	0	2	1	20	0				Non défini
Domaine Louis Magnin - Jacquère	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2007	75 cl	2009-05-17	6	6	0	2	1	3	0		à boire rapidement		Non défini
Domaine Louis Magnin, Grand Orgue	France	Savoie, Dauphiné et Bugey	Vin de Savoie Chignin-Bergeron	blanc	2005	75 cl	2009-05-17	15	15	0	2	1	15	0				Non défini
Domaine Louis Montemagni	France	Provence-Corse	Patrimonio	rouge	2005	75 cl	2007-09-13	5.95	5.95	0	2	2	5	0				Non défini
Domaine Luc Boilley	France	Jura	Côtes du Jura	vin jaune	1997	62 cl	2009-04-03	28	28	0	2	10	150	10	Attendre...	Cuvée Tradition, 120 mois en cuve, càd 10 ans sous voile au lieu des 6 ans et 3 mois demandés pour l'appellation vin jaune.		Non défini
Domaine Luc Boilley	France	Jura	Côtes du Jura	vin jaune	1990	75 cl	2009-04-03	35	35	0	1	10	150	0	Attendre...	Cuvée Tradition, 120 mois en cuve, càd 10 ans sous voile au lieu des 6 ans et 3 mois demandés pour l'appellation vin jaune.		Non défini
Domaine Luc Boilley	France	Jura	Côtes du Jura	vin jaune	1995	62,5 cl	2009-04-03	30	30	0	2	10	150	10	attendre...	Cuvée Tradition, 120 mois en cuve, càd 10 ans sous voile au lieu des 6 ans et 3 mois demandés pour l'appellation vin jaune.		Non défini
Domaine Luc Boilley	France	Jura	Côtes du Jura	vin jaune	2001	62,5 cl	2009-10-26	12	12	0	2	1	25	1		Via Franck		Non défini
Domaine Luc Boilley	France	Jura	Côtes du Jura	vin jaune	2002	75 cl	2010-09-27	13.9	13.9	0	3	8	20	8			Par Franck et Cécile	Grande surface
Domaine Luc Boilley - Poulsard	France	Jura	Côtes du Jura	rouge	2005	75 cl	2009-07-24	0	7	0	1	1	5	0		Vinifié en rouge. Offert par Boilley suite à nos achats du jour (ainsi qu'un Savagnin de gelée 1997)		Non défini
Domaine Luc Boilley - Savagnin	France	Jura	Côtes du Jura	blanc	2005	75 cl	2016-04-23	0	0	0	2	2	10	2			apparemment supprimés par erreur de la cave	En direct du producteur
Domaine Luc Boilley - Savagnin	France	Jura	Côtes du Jura	blanc	1995	75 cl	2016-04-23	0	0	0	1	2	5	2			sortie par erreur apparemment	Non défini
Domaine Luc Boilley - Savagnin de gelée	France	Jura	Côtes du Jura	blanc liquoreux	2002	75 cl	2009-04-03	13	13	0	1	3	20	0	Apparemment difficile à marier... En apéro à 2 ?	Savagnin en vendanges très tardives (avec les gelées). Sorte de liquoreux du Jura mais pas sous forme de vin de paille		Non défini
